address,amenities,attraction,num_avg,num_bad,num_excellent,num_good,num_poor,page_link,rating,restaurant,title,total_reviews,walking_grade
"32 E 3rd St East 3rd Street at 2nd Avenue, New York City, NY 10003","Free High Speed Internet (WiFi),Free internet,Wifi,Airport transportation,Non-smoking hotel,Clothes dryer,Self-serve laundry,Washing machine,Internet,Air conditioning,Safe,Seating area,Sofa,Coffee / tea maker,Kitchenette,Flatscreen TV,Hair dryer,Telephone,Iron,Wake-up service / alarm clock,Dishwasher,Microwave,Refrigerator,Kitchenware,Non-smoking rooms,Family rooms",167,3,1,314,69,5,https://www.tripadvisor.com/Hotel_Review-g60763-d1489098-Reviews-East_Village_Apartments_by_Sudha-New_York_City_New_York.html,5.0,481,East Village Apartments by Sudha,392 reviews,100
"234 E 46th St btwn 2nd & 3rd Aves, New York City, NY 10017-2931","Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Children Activities (Kid / Family Friendly),Business Center with Internet Access,Meeting rooms,Massage,Baggage storage,Non-smoking hotel,Free internet,Wifi,Public wifi,Internet,Dry cleaning,Laundry service,Air conditioning,Fireplace,Housekeeping,Seating area,Kitchenette,Dishwasher,Flatscreen TV,Bath / shower,Telephone,Microwave,Refrigerator,DVD / CD player,Radio,Complimentary toiletries,Non-smoking rooms,Suites",57,1,0,56,6,0,https://www.tripadvisor.com/Hotel_Review-g60763-d502407-Reviews-AKA_United_Nations-New_York_City_New_York.html,5.0,371,AKA United Nations,63 reviews,100
"1568 Broadway, New York City, NY 10036-8201","Valet parking,Free internet,Fitness Center with Gym / Workout Room,Bar / lounge,Evening entertainment,Business Center with Internet Access,Conference facilities,Concierge,Wifi,Paid wifi,Paid internet,Internet,Restaurant,Breakfast available,Breakfast buffet,Banquet room,Meeting rooms,Non-smoking hotel,ATM on site,24-hour front desk,Dry cleaning,Laundry service,Air conditioning,Housekeeping,Room service,Safe,Microwave,Refrigerator,Flatscreen TV,Non-smoking rooms,Suites,Family rooms",276,908,226,"4,641","2,986",304,https://www.tripadvisor.com/Hotel_Review-g60763-d93352-Reviews-DoubleTree_Suites_by_Hilton_Hotel_New_York_City_Times_Square-New_York_City_New_York.html,4.5,528,DoubleTree Suites by Hilton Hotel New York City - Times Square,"9,064 reviews",100
"196A Stanton St, New York City, NY 10002-1809","Free High Speed Internet (WiFi),Free internet,Wifi,Internet,Free breakfast,Non-smoking hotel,Air conditioning,Desk,Seating area,Sofa,Coffee / tea maker,Kitchenette,Flatscreen TV,Bath / shower,Iron,Dishwasher,Microwave,Refrigerator,DVD / CD player,Complimentary toiletries,Hair dryer,Non-smoking rooms,Suites",72,16,7,148,78,8,https://www.tripadvisor.com/Hotel_Review-g60763-d1776886-Reviews-Sanctuary_NYC_Retreats-New_York_City_New_York.html,4.5,244,Sanctuary NYC Retreats,257 reviews,100
"1295 Madison Ave Between 92nd & 93rd, New York City, NY 10128-1301","Valet parking,Free High Speed Internet (WiFi),Fitness Center with Gym / Workout Room,Restaurant,Babysitting,Pets Allowed ( Dog / Pet Friendly ),Airport transportation,Business Center with Internet Access,Paid private parking on-site,Free internet,Wifi,Internet,Breakfast available,Breakfast in the room,Conference facilities,Meeting rooms,Fax / photocopying,Salon,Rooftop terrace,Baggage storage,Concierge,Newspaper,Non-smoking hotel,24-hour front desk,Dry cleaning,Laundry service,Shoeshine,Allergy-free room,Air conditioning,Desk,Housekeeping,Room service,Flatscreen TV,On-demand movies,Bath / shower,Safe,Telephone,Iron,Wake-up service / alarm clock,Complimentary toiletries,Hair dryer,Bridal suite,Non-smoking rooms,Suites,Family rooms",17,146,47,369,355,67,https://www.tripadvisor.com/Hotel_Review-g60763-d93625-Reviews-Hotel_Wales-New_York_City_New_York.html,4.0,83,Hotel Wales,984 reviews,100
"891 Amsterdam Ave, New York City, NY 10025-4403","Free High Speed Internet (WiFi),Coffee shop,Game room,Billiards,BBQ facilities,Baggage storage,24-hour front desk,Express check-in / check-out,Free internet,Wifi,Public wifi,Internet,Restaurant,Snack bar,Vending machine,Entertainment staff,Evening entertainment,Table tennis,Convenience store,Non-smoking hotel,Outdoor furniture,Picnic area,Shared bathroom,Shared kitchen,Shared lounge / TV area,Sun terrace,Laundry service,Self-serve laundry,Non-smoking rooms",7,195,42,943,766,64,https://www.tripadvisor.com/Hotel_Review-g60763-d121994-Reviews-HI_New_York_City_Hostel-New_York_City_New_York.html,4.0,144,HI New York City Hostel,"2,010 reviews",100
"838 Riverside Dr, New York City, NY 10032-5410",,4,0,0,0,0,1,https://www.tripadvisor.com/Hotel_Review-g60763-d1544848-Reviews-On_the_Hudson_House-New_York_City_New_York.html,2.0,44,On the Hudson House,1 review,78
"30 W 54th St, New York City, NY 10019-5405",,129,0,0,0,0,2,https://www.tripadvisor.com/Hotel_Review-g60763-d93572-Reviews-The_Dorset-New_York_City_New_York.html,2.0,430,The Dorset,2 reviews,100
"201 W 87th St Upper West Side, New York City, NY 10024-2844","Free internet,Internet",13,43,46,8,37,17,https://www.tripadvisor.com/Hotel_Review-g60763-d1737422-Reviews-Fit_Hotel-New_York_City_New_York.html,2.5,154,Fit Hotel,151 reviews,100
"24 James St Entrance A, New York City, NY 10038-1255",,29,0,1,0,0,0,https://www.tripadvisor.com/Hotel_Review-g60763-d15035436-Reviews-Be_Local_Chinatown-New_York_City_New_York.html,1.0,203,Be Local Chinatown,1 review,100
